time,x,x_dot,y,y_dot,z,z_dot
2024-05-13 18:30:00,461.572662,-75252.70764,367.971842,-8104.914993,-6831.858545,-5527.282582
2024-05-13 19:00:00,-6415.729982,26771.305032,52.575801,687.564306,2394.602331,71367.820174
2024-05-13 19:30:00,4789.63372,52556.252514,-982.706916,-9370.69433,4787.758359,-54351.368884
2024-05-13 20:00:00,2298.670397,-68658.247999,-369.463309,19843.888027,-6449.581604,-25624.225393
2024-05-13 20:30:00,-6244.571509,6653.627671,2756.512592,-1371.466648,587.392605,75923.10651
2024-05-13 21:00:00,2765.856269,55825.244929,-2022.348365,-35165.362797,5920.999896,-38000.96374
2024-05-13 21:30:00,3230.515059,-48676.298171,-2290.702637,38468.396734,-5596.921551,-43876.992948
2024-05-13 22:00:00,-4582.97762,-8530.637098,4936.903306,11126.90165,-1263.251556,74890.14062
2024-05-13 22:30:00,743.649355,42877.54034,-1554.480795,-59977.633808,6618.838197,-18867.686205
2024-05-13 23:00:00,2694.419922,-23793.121003,-4576.536258,41767.595599,-4335.0637,-58959.26402
2024-05-13 23:30:00,-2051.991314,-10649.887346,5801.40672,31765.85562,-3021.568955,68358.267736
2024-05-14 00:00:00,-343.038853,17476.057537,71.965519,-74037.89034,6830.213185,1647.658221
2024-05-14 00:30:00,753.808348,-4378.799883,-6230.71332,30235.611154,-2754.883594,-69753.396851
2024-05-14 01:00:00,372.485203,2680.785757,5108.206516,50465.808032,-4558.395791,56827.427472
2024-05-14 01:30:00,21.364161,-11389.531199,2005.361162,-71944.632538,6539.461936,22043.653553
2024-05-14 02:00:00,-1923.573548,1723.130256,-6504.560434,10668.477807,-971.965406,-75439.105702
2024-05-14 02:30:00,1775.067273,27084.267922,3267.201779,57826.733827,-5761.348345,41159.578048
2024-05-14 03:00:00,1712.776463,-33307.169182,3257.303821,-54963.993754,5767.684306,40825.881997
2024-05-14 03:30:00,-4346.934987,-7414.923339,-5219.962592,-6735.634019,881.881666,-75575.443528
2024-05-14 04:00:00,1691.025463,53290.031087,1162.818666,49152.211307,-6542.981278,22514.684291
2024-05-14 04:30:00,4019.611589,-40859.800221,3128.325963,-30481.825665,4571.528573,56616.298749
2024-05-14 05:00:00,-5625.286614,-26961.351894,-2847.582201,-12798.975194,2670.238405,-70146.195926
2024-05-14 05:30:00,301.8429,71090.249108,-226.716746,26458.686042,-6846.930141,2254.72251
2024-05-14 06:00:00,5947.131192,-32766.577847,1509.000073,-8859.877823,3039.160514,68244.863324
2024-05-14 06:30:00,-5346.671541,-47421.199444,-306.017571,-3329.135548,4261.721158,-59552.989409
2024-05-14 07:00:00,-1647.287823,73659.859448,-247.485819,-2394.2709,-6651.78215,-18164.751384
2024-05-14 07:30:00,6642.961137,-14415.280517,-1070.680709,996.226602,1283.152241,74849.772777
